datetime,overall_sentiment_score,relevance_score,ticker_sentiment_score,affected_topic_relevance_score,distinct_news_count
2022-03-09 15:00:00,-0.0736,0.0302,0.1025,0.4627,1
2022-03-12 00:00:00,-0.3512,0.0224,-0.4821,0.2041,1
2022-03-17 19:00:00,-0.0378,0.0384,0.0166,0.4674,1
2022-03-21 10:00:00,-0.0655,0.0305,0.0166,0.4674,1
2022-03-24 05:00:00,-0.2172,0.0738,-0.0065,0.5306,1
2022-03-24 17:00:00,0.0063,0.0863,0.0241,0.3508,1
2022-03-24 21:00:00,0.1542,0.2889,0.2063,0.6194,1
2022-03-25 05:00:00,-0.2397,0.0727,-0.0232,0.5306,1
2022-03-25 07:00:00,-0.1719,0.0975,0.0155,0.3063,1
2022-03-25 10:00:00,-0.0784,0.1133,-0.1103,0.4299,1
2022-03-25 11:00:00,-0.136,0.1393,-0.1103,0.348,1
2022-03-27 13:00:00,0.0037,0.1477,0.1592,0.4838,1
2022-03-27 21:00:00,0.0334,0.3291,0.0189,0.1923,1
2022-03-28 06:00:00,0.0492,0.181,0.0025,0.5254,1
2022-03-28 16:00:00,0.1062,0.1516,0.202,0.4935,1
2022-03-29 02:00:00,0.0288,0.0032,0.0055,0.4311,1
2022-03-29 10:00:00,0.1205,0.085,0.3253,0.3308,1
2022-03-29 12:00:00,0.1666,0.0465,0.0282,0.5324,1
2022-03-29 13:00:00,-0.0039,0.2418,0.0055,0.2374,1
2022-03-29 17:00:00,0.0123,0.7388,-0.01,0.4865,1
2022-03-29 20:00:00,0.0311,0.0697,0.1529,0.3907,1
2022-03-30 06:00:00,-0.2097,0.064,-0.2611,0.46,1
2022-03-30 07:00:00,0.0001,0.1702,0.0034,0.3223,1
2022-03-30 10:00:00,0.0213,0.1042,-0.0048,0.4992,1
2022-03-30 11:00:00,-0.0836,0.0433,0.0207,0.5574,1
2022-03-30 12:00:00,0.0556,0.1668,0.0189,0.6,2
2022-03-30 14:00:00,-0.1567,0.041,-0.0171,0.4534,1
2022-03-30 15:00:00,0.1226,0.0709,0.0098,0.4141,4
2022-03-30 16:00:00,-0.0732,0.3215,0.0292,0.5019,2
2022-03-30 17:00:00,-0.0413,0.2673,0.0286,0.3049,1
2022-03-30 18:00:00,0.1667,0.7792,0.1696,0.4682,1
2022-03-30 19:00:00,0.0035,0.3478,0.0078,0.4273,3
2022-03-30 20:00:00,-0.282,0.0298,-0.2451,0.5,1
2022-03-30 23:00:00,-0.036,0.1318,0.0336,0.71,1
2022-04-12 22:00:00,-0.2114,0.121,-0.9055,0.283,1
2022-04-13 21:00:00,-0.0297,0.5578,-0.0178,0.439,1
2022-04-14 12:00:00,-0.0525,0.2646,0.0242,0.3462,1
2022-04-21 14:00:00,-0.2268,0.5562,-0.4111,0.5484,1
2022-04-22 03:00:00,-0.1096,0.0469,-0.4653,0.4715,1
2022-04-23 11:00:00,-0.0086,0.1359,-0.323,0.383,1
2022-04-26 17:00:00,-0.3927,0.4962,-0.5449,0.4792,1
2022-04-26 19:00:00,-0.2242,0.7733,-0.2067,0.4742,1
2022-04-27 15:00:00,-0.1414,0.5567,-0.1234,0.4711,1
2022-04-27 16:00:00,-0.4103,0.5712,-0.205,0.3543,1
2022-04-28 12:00:00,0.2598,0.0961,-0.101,0.5118,1
2022-04-28 20:00:00,-0.0631,0.1212,0.0642,0.3969,2
2022-04-28 21:00:00,0.0891,0.3751,0.0646,0.4602,1
2022-04-29 01:00:00,-0.1591,0.1292,0.0182,0.3832,1
2022-04-29 12:00:00,-0.0233,0.0929,-0.1519,0.3971,2
2022-04-29 14:00:00,0.0049,0.2775,0.0047,0.3333,1
2022-04-29 15:00:00,-0.1047,0.3518,-0.1,0.5646,2
2022-04-29 17:00:00,0.0577,0.0243,0.3154,0.9424,1
2022-04-29 18:00:00,-0.1978,0.1361,-0.2019,0.463,1
2022-04-29 19:00:00,-0.0825,0.1847,0.0123,0.2628,1
2022-04-29 20:00:00,-0.1229,0.0455,-0.1508,0.5344,1
2022-04-29 22:00:00,-0.0545,0.0468,0.0015,0.5211,2
2022-05-12 02:00:00,0.0242,0.2681,0.0307,0.5793,1
2022-05-12 19:00:00,-0.1809,0.0458,0.1137,0.5995,1
2022-05-13 18:00:00,-0.1493,0.2632,0.1083,0.6657,1
2022-05-18 14:00:00,-0.2485,0.0519,0.0924,0.4562,1
2022-05-18 20:00:00,-0.2899,0.063,-0.2183,0.4375,1
2022-05-18 21:00:00,-0.273,0.2159,-0.232,0.4315,1
2022-05-19 22:00:00,-0.1778,0.6124,-0.1557,0.2896,1
2022-05-20 15:00:00,-0.232,0.057,0.0924,0.3154,1
2022-05-20 20:00:00,-0.2731,0.1085,-0.2731,0.3517,1
2022-05-20 22:00:00,-0.0227,0.0493,-0.0135,0.4208,1
2022-05-22 17:00:00,-0.033,0.0596,0.0561,0.2986,1
2022-05-23 09:00:00,-0.0855,0.0901,0.011,0.4445,1
2022-05-23 10:00:00,-0.058,0.2328,-0.0019,0.3616,1
